Feature,Importance
"line75 x start, line75 y start",0.0
"line75 x start, line75 y end",0.002052140564686037
"line75 x end, line75 y start",0.0
"line75 x end, line75 y end",0.0025212284909211045
"line76 x start, line76 y start",0.0
"line76 x start, line76 y end",0.002960559843311284
"line76 x end, line76 y start",0.0
"line76 x end, line76 y end",0.002755542256741626
"line77 x start, line77 y start",0.0
"line77 x start, line77 y end",0.00040035520694699337
"line77 x end, line77 y start",0.0
"line77 x end, line77 y end",0.0019067634218825113
"line78 x start, line78 y start",0.0
"line78 x start, line78 y end",0.0018541051431227448
"line78 x end, line78 y start",0.0
"line78 x end, line78 y end",0.0014831473596025055
"line79 x start, line79 y start",0.0
"line79 x start, line79 y end",0.0010709673600955269
"line79 x end, line79 y start",0.0
"line79 x end, line79 y end",0.0
"line80 x start, line80 y start",0.0
"line80 x start, line80 y end",0.0011641654828630308
"line80 x end, line80 y start",0.0
"line80 x end, line80 y end",0.0008132886136526984
"line81 x start, line81 y start",0.0
"line81 x start, line81 y end",0.001305544744455615
"line81 x end, line81 y start",0.0
"line81 x end, line81 y end",0.0022593792693996247
"line82 x start, line82 y start",0.0
"line82 x start, line82 y end",0.0025839898138311657
"line82 x end, line82 y start",0.0
"line82 x end, line82 y end",0.0027076776497810223
"line83 x start, line83 y start",0.0
"line83 x start, line83 y end",0.0005055370894778611
"line83 x end, line83 y start",0.0
"line83 x end, line83 y end",0.001213900745561784
"line84 x start, line84 y start",0.0
"line84 x start, line84 y end",0.001204307553473892
"line84 x end, line84 y start",0.0
"line84 x end, line84 y end",0.0016792296890633105
"line85 x start, line85 y start",0.0
"line85 x start, line85 y end",0.001695716455028508
"line85 x end, line85 y start",0.0
"line85 x end, line85 y end",0.0002065505335369371
"line86 x start, line86 y start",0.0
"line86 x start, line86 y end",0.0005985954340752787
"line86 x end, line86 y start",0.0
"line86 x end, line86 y end",0.0007790853764207586
"line87 x start, line87 y start",0.0
"line87 x start, line87 y end",0.0021177050436135443
"line87 x end, line87 y start",0.0
"line87 x end, line87 y end",0.0017367051338735486
"line88 x start, line88 y start",0.0
"line88 x start, line88 y end",0.003001543420502039
"line88 x end, line88 y start",0.0
"line88 x end, line88 y end",0.0017691253654295316
"line89 x start, line89 y start",0.0
"line89 x start, line89 y end",0.0011682103523402926
"line89 x end, line89 y start",0.0
"line89 x end, line89 y end",0.0028379615881764025
"line90 x start, line90 y start",0.0
"line90 x start, line90 y end",0.0031704811948170463
"line90 x end, line90 y start",0.0
"line90 x end, line90 y end",0.002022868779268053
"line91 x start, line91 y start",0.0
"line91 x start, line91 y end",0.002477412587770569
"line91 x end, line91 y start",0.0
"line91 x end, line91 y end",0.001172374291943316
"line92 x start, line92 y start",0.0
"line92 x start, line92 y end",0.0017808625769628562
"line92 x end, line92 y start",0.0
"line92 x end, line92 y end",0.002984802878620954
"line93 x start, line93 y start",0.0
"line93 x start, line93 y end",0.0017520415604046025
"line93 x end, line93 y start",0.0
"line93 x end, line93 y end",0.0018910439912543586
"line94 x start, line94 y start",0.0
"line94 x start, line94 y end",0.0017587801832028513
"line94 x end, line94 y start",0.0
"line94 x end, line94 y end",0.003079168036974536
"line95 x start, line95 y start",0.0
"line95 x start, line95 y end",0.002061686404488819
"line95 x end, line95 y start",0.0
"line95 x end, line95 y end",0.00238621972540084
"line96 x start, line96 y start",0.0
"line96 x start, line96 y end",0.0032532424300610575
"line96 x end, line96 y start",0.0
"line96 x end, line96 y end",0.001757067439350329
"line97 x start, line97 y start",0.0
"line97 x start, line97 y end",5.4119202208312284e-05
"line97 x end, line97 y start",0.0
"line97 x end, line97 y end",0.0009756108601045966
"line98 x start, line98 y start",0.0
"line98 x start, line98 y end",0.0033922096059859404
"line98 x end, line98 y start",0.0
"line98 x end, line98 y end",0.0010094818749396123
"line99 x start, line99 y start",0.0
"line99 x start, line99 y end",0.0008761679156364852
"line99 x end, line99 y start",0.0
"line99 x end, line99 y end",0.002294751030603043
"line100 x start, line100 y start",0.0
"line100 x start, line100 y end",0.0006953090550971525
"line100 x end, line100 y start",0.0
"line100 x end, line100 y end",0.00010775547559034467
"line101 x start, line101 y start",0.0
"line101 x start, line101 y end",0.001150226000568451
"line101 x end, line101 y start",0.0
"line101 x end, line101 y end",0.0010901987935679508
"line102 x start, line102 y start",0.0
"line102 x start, line102 y end",0.0030738740628216046
"line102 x end, line102 y start",0.0
"line102 x end, line102 y end",0.0023577445871407906
"line103 x start, line103 y start",0.0
"line103 x start, line103 y end",0.0007943406854226245
"line103 x end, line103 y start",0.0
"line103 x end, line103 y end",0.003094072645946987
"line104 x start, line104 y start",0.0
"line104 x start, line104 y end",0.0009652493165414797
"line104 x end, line104 y start",0.0
"line104 x end, line104 y end",0.001297885817469683
"line105 x start, line105 y start",0.0
"line105 x start, line105 y end",0.0010697910675578853
